 1        The Great Gatsby          F. Scott Fitzgerald
 2        To Kill a Mockingbird     Harper Lee
 3        1984                      George Orwell
 4        Pride and Prejudice       Jane Austen
 5        The Catcher in the Rye    J.D. Salinger
 6        Animal Farm               George Orwell
 7        Lord of the Flies         William Golding
 8        Brave New World           Aldous Huxley
 9        The Hobbit                J.R.R. Tolkien
 10       Harry Potter and the Sorcerer's Stone   J.K. Rowling
 11       The Shining               Stephen King
 12       The Da Vinci Code         Dan Brown
 13       The Hitchhiker's Guide to the Galaxy    Douglas Adams
 14       One Hundred Years of Solitude   Gabriel Garcia Marquez
 15       The Grapes of Wrath       John Steinbeck
 16       Frankenstein              Mary Shelley
 17       Moby-Dick                 Herman Melville
 18       The Odyssey               Homer
 19       War and Peace             Leo Tolstoy
 20       Crime and Punishment      Fyodor Dostoevsky
 21       The Lord of the Rings     J.R.R. Tolkien
 22       The Hunger Games          Suzanne Collins
 23       1984                      George Orwell
 24       The Alchemist             Paulo Coelho
 25       To Kill a Mockingbird     Harper Lee
 26       The Kite Runner           Khaled Hosseini
 27       The Brothers Karamazov   Fyodor Dostoevsky
 28       Wuthering Heights         Emily Brontë
 29       The Count of Monte Cristo Alexandre Dumas
 30       Slaughterhouse-Five       Kurt Vonnegut
 31       Don Quixote               Miguel de Cervantes
 32       Fahrenheit 451            Ray Bradbury
 33       The Picture of Dorian Gray   Oscar Wilde
 34       The Adventures of Sherlock Holmes   Arthur Conan Doyle
 35       The Sound and the Fury    William Faulkner
 36       Anna Karenina             Leo Tolstoy
 37       The Jungle Book           Rudyard Kipling
 38       Alice's Adventures in Wonderland    Lewis Carroll
 39       The Scarlet Letter        Nathaniel Hawthorne
 40       A Tale of Two Cities      Charles Dickens
 41       Jane Eyre                 Charlotte Brontë
 42       The Divine Comedy         Dante Alighieri
 43       Great Expectations        Charles Dickens
 44       The Sun Also Rises        Ernest Hemingway
 45       Dracula                   Bram Stoker
 46       The Time Machine          H.G. Wells
 47       The War of the Worlds     H.G. Wells
 48       Oliver Twist              Charles Dickens
 49       The Outsiders             S.E. Hinton
 50       The Metamorphosis         Franz Kafka
 1122      Slaughterhouse-Five      Slaughterhouse-Five
